time,temperature_2m,precipitation,windspeed_10m,city
2026-05-20T00:00,14.0,0.0,5.2,秋田
2026-05-20T01:00,13.7,0.0,5.8,秋田
2026-05-20T02:00,13.6,0.0,5.7,秋田
2026-05-20T03:00,13.8,0.0,6.0,秋田
2026-05-20T04:00,14.0,0.0,5.8,秋田
2026-05-20T05:00,13.9,0.0,4.5,秋田
2026-05-20T06:00,14.1,0.0,1.5,秋田
2026-05-20T07:00,15.1,0.0,2.2,秋田
2026-05-20T08:00,17.0,0.0,3.4,秋田
2026-05-20T09:00,20.2,0.0,1.3,秋田
2026-05-20T10:00,22.1,0.0,5.0,秋田
2026-05-20T11:00,22.0,0.0,7.2,秋田
2026-05-20T12:00,21.3,0.0,7.6,秋田
2026-05-20T13:00,22.0,0.0,5.4,秋田
2026-05-20T14:00,22.8,0.0,5.8,秋田
2026-05-20T15:00,22.3,0.0,5.4,秋田
2026-05-20T16:00,20.5,0.0,6.6,秋田
2026-05-20T17:00,18.8,0.0,5.8,秋田
2026-05-20T18:00,18.0,0.0,3.6,秋田
2026-05-20T19:00,16.7,0.0,3.9,秋田
2026-05-20T20:00,16.0,0.0,2.5,秋田
2026-05-20T21:00,15.6,0.0,2.6,秋田
2026-05-20T22:00,15.1,0.0,2.9,秋田
2026-05-20T23:00,14.5,0.0,3.3,秋田
2026-05-21T00:00,14.0,0.0,3.1,秋田
2026-05-21T01:00,13.5,0.0,3.7,秋田
2026-05-21T02:00,13.2,0.0,3.8,秋田
2026-05-21T03:00,13.2,0.0,3.3,秋田
2026-05-21T04:00,13.3,0.0,3.9,秋田
2026-05-21T05:00,13.4,0.0,4.4,秋田
2026-05-21T06:00,13.8,0.0,4.7,秋田
2026-05-21T07:00,13.6,0.2,4.7,秋田
2026-05-21T08:00,13.6,0.7,6.0,秋田
2026-05-21T09:00,13.8,1.8,5.9,秋田
2026-05-21T10:00,13.9,2.0,5.1,秋田
2026-05-21T11:00,14.2,1.6,4.4,秋田
2026-05-21T12:00,14.4,1.1,9.8,秋田
2026-05-21T13:00,14.4,2.2,10.6,秋田
2026-05-21T14:00,14.9,1.3,11.2,秋田
2026-05-21T15:00,14.8,0.5,10.0,秋田
2026-05-21T16:00,14.8,0.1,8.9,秋田
2026-05-21T17:00,14.7,0.9,8.1,秋田
2026-05-21T18:00,14.5,0.5,6.8,秋田
2026-05-21T19:00,14.1,0.4,6.5,秋田
2026-05-21T20:00,13.7,0.1,4.0,秋田
2026-05-21T21:00,13.2,0.0,3.3,秋田
2026-05-21T22:00,13.4,0.0,6.5,秋田
2026-05-21T23:00,13.1,0.0,8.0,秋田
2026-05-22T00:00,13.2,0.0,8.0,秋田
2026-05-22T01:00,12.5,0.7,4.7,秋田
2026-05-22T02:00,12.3,1.5,4.3,秋田
2026-05-22T03:00,12.0,0.7,7.0,秋田
2026-05-22T04:00,11.2,0.4,9.7,秋田
2026-05-22T05:00,10.5,0.7,10.0,秋田
2026-05-22T06:00,10.5,0.1,7.7,秋田
2026-05-22T07:00,10.9,0.1,7.2,秋田
2026-05-22T08:00,12.5,0.0,8.2,秋田
2026-05-22T09:00,14.6,0.0,9.2,秋田
